name,brand,color,price,seller_name,seller_phone,seller_average_rating,seller_review_count,miles,distance_from_Madison,Exterior Color,Interior Color,Transmission,Drivetrain
2018 Audi Q5 2.0T Premium,Audi,Silver,52725,Napleton Autowerks Loves Park,(815) 916-4212,4.9,339,,57,Florett Silver Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Gray,54375,Napleton Autowerks Loves Park,(815) 916-4212,4.9,339,,57,Monsoon Gray Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2016 Audi Q5 3.0 TDI Premium Plus quattro,Audi,Black,49968,Napleton Autowerks Loves Park,(815) 916-4212,4.9,339,,57,Brilliant Black,Pistachio Beige,8-Speed Automatic,AWD
2018 Audi Q5 2.0T Premium,Audi,Red,54000,Bergstrom Imports on Victory Lane,(877) 245-2925,4.3,390,,97,Matador Red Metallic,Atlas Beige / Gray,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 Premium Plus,Audi,Blue,52575,Audi Hoffman Estates,(847) 961-4989,4.9,1138,,100,Utopia Blue Metallic,Black,7-Speed Auto-Shift Manual w/OD,AWD
2018 Audi Q5 Prestige,Audi,Gray,54650,Audi Hoffman Estates,(847) 961-4989,4.9,1138,,100,Manhattan Gray Metallic,Black,7-Speed Auto-Shift Manual w/OD,AWD
2018 Audi Q5 Premium Plus,Audi,Gray,54375,Audi Hoffman Estates,(847) 961-4989,4.9,1138,,100,Gray,,7-Speed Auto-Shift Manual w/OD,AWD
2018 Audi Q5 Premium Plus,Audi,Other,54435,Audi Hoffman Estates,(847) 961-4989,4.9,1138,,100,Mythos_Plack,,7-Speed Auto-Shift Manual w/OD,AWD
2018 Audi Q5 Premium Plus,Audi,White,53860,Audi Hoffman Estates,(847) 961-4989,4.9,1138,,100,Ibis White,Nougat Brown,7-Speed Auto-Shift Manual w/OD,AWD
2018 Audi Q5 Premium Plus,Audi,Silver,53485,Audi Hoffman Estates,(847) 961-4989,4.9,1138,,100,Florett Silver Metallic,Black,7-Speed Auto-Shift Manual w/OD,AWD
2018 Audi Q5 Premium Plus,Audi,Black,53800,Audi Hoffman Estates,(847) 961-4989,4.9,1138,,100,Brilliant_Black,,7-Speed Auto-Shift Manual w/OD,AWD
2018 Audi Q5 Premium Plus,Audi,Black,53650,Audi Hoffman Estates,(847) 961-4989,4.9,1138,,100,Brilliant Black,Atlas Beige,7-Speed Auto-Shift Manual w/OD,AWD
2018 Audi Q5 2.0T Premium,Audi,Blue,53645,The Audi Exchange,(847) 739-9944,4.9,558,,102,Moonlight Blue Metallic,Nougat Brown / Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Gray,53375,The Audi Exchange,(847) 739-9944,4.9,558,,102,Manhattan Gray Metallic,Rock Gray,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Red,54650,The Audi Exchange,(847) 739-9944,4.9,558,,102,Matador Red Metallic,Rock Gray,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Gray,49975,The Audi Exchange,(847) 739-9944,4.9,558,,102,Monsoon Gray Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Gray,45825,The Audi Exchange,(847) 739-9944,4.9,558,,102,Monsoon Gray Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Green,53125,The Audi Exchange,(847) 739-9944,4.9,558,,102,Azores Green Metallic,Rock Gray,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,White,52950,The Audi Exchange,(847) 739-9944,4.9,558,,102,Ibis White,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Black,53100,The Audi Exchange,(847) 739-9944,4.9,558,,102,Brilliant Black,Atlas Beige / Gray,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Black,52150,The Audi Exchange,(847) 739-9944,4.9,558,,102,Brilliant Black,Atlas Beige / Gray,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Silver,56175,The Audi Exchange,(847) 739-9944,4.9,558,,102,Florett Silver Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Blue,53175,The Audi Exchange,(847) 739-9944,4.9,558,,102,Navarra Blue Metallic,Rock Gray,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Red,53375,The Audi Exchange,(847) 739-9944,4.9,558,,102,Matador Red Metallic,Atlas Beige / Gray,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Gray,52725,The Audi Exchange,(847) 739-9944,4.9,558,,102,Manhattan Gray Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,White,51850,The Audi Exchange,(847) 739-9944,4.9,558,,102,Ibis White,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Blue,53480,The Audi Exchange,(847) 739-9944,4.9,558,,102,Navarra Blue Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Silver,49825,The Audi Exchange,(847) 739-9944,4.9,558,,102,Florett Silver Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,White,53860,The Audi Exchange,(847) 739-9944,4.9,558,,102,Ibis White,Nougat Brown / Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Gray,53385,The Audi Exchange,(847) 739-9944,4.9,558,,102,Manhattan Gray Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,White,50000,The Audi Exchange,(847) 739-9944,4.9,558,,102,Ibis White,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Silver,50340,The Audi Exchange,(847) 739-9944,4.9,558,,102,Florett Silver Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Blue,54435,The Audi Exchange,(847) 739-9944,4.9,558,,102,Moonlight Blue Metallic,Rock Gray,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,White,52950,The Audi Exchange,(847) 739-9944,4.9,558,,102,Ibis White,Atlas Beige / Gray,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Red,54325,The Audi Exchange,(847) 739-9944,4.9,558,,102,Matador Red Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Black,52150,The Audi Exchange,(847) 739-9944,4.9,558,,102,Brilliant Black,Atlas Beige / Gray,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium Plus quattro,Audi,White,50050,Audi La Crosse,(888) 357-2528,5,2,,103,Ibis White,Atlas Beige / Gray,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Prestige quattro,Audi,Gray,53375,Audi La Crosse,(888) 357-2528,5,2,,103,Monsoon Gray Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium Plus quattro,Audi,White,50110,Audi La Crosse,(888) 357-2528,5,2,,103,Ibis White,Nougat Brown / Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Silver,54435,Audi Morton Grove,(888) 510-2233,4.5,213,,109,Florett Silver Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Black,52950,Audi Morton Grove,(888) 510-2233,4.5,213,,109,Brilliant Black,Atlas Beige / Gray,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,White,52150,Audi Morton Grove,(888) 510-2233,4.5,213,,109,Ibis White,Atlas Beige / Gray,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Silver,55975,Audi Morton Grove,(888) 510-2233,4.5,213,,109,Florett Silver Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2016 Audi Q5 3.0 TDI Premium Plus quattro,Audi,White,54025,Audi Morton Grove,(888) 510-2233,4.5,213,,109,Glacier White Metallic,Black,8-Speed Automatic,AWD
2018 Audi Q5 2.0T Premium,Audi,White,53860,Audi Morton Grove,(888) 510-2233,4.5,213,,109,Ibis White,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Gray,54375,Audi Morton Grove,(888) 510-2233,4.5,213,,109,Monsoon Gray Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Blue,50950,Continental Audi of Naperville,(888) 514-9110,4.8,470,,111,Utopia Blue Metallic,Atlas Beige / Gray,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Gray,54850,Continental Audi of Naperville,(888) 514-9110,4.8,470,,111,Manhattan Gray Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Gray,51730,Continental Audi of Naperville,(888) 514-9110,4.8,470,,111,Monsoon Gray Metallic,Rock Gray,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Blue,53750,Continental Audi of Naperville,(888) 514-9110,4.8,470,,111,Moonlight Blue Metallic,Nougat Brown / Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Blue,47800,Continental Audi of Naperville,(888) 514-9110,4.8,470,,111,Utopia Blue Metallic,Atlas Beige / Gray,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Black,53175,Continental Audi of Naperville,(888) 514-9110,4.8,470,,111,Brilliant Black,Atlas Beige / Gray,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Green,54680,Continental Audi of Naperville,(888) 514-9110,4.8,470,,111,Azores Green Metallic,Rock Gray,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,White,51625,Lujack's Northpark Autoplaza,(888) 481-5702,3.5,5,,119,Ibis White,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Silver,53485,Lujack's Northpark Autoplaza,(888) 481-5702,3.5,5,,119,Florett Silver Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 Premium Plus,Audi,White,53800,Fletcher Jones Audi,(312) 635-7294,4.8,538,,121,White,BEIGE,7-SPEED A/T,All Wheel Drive
2018 Audi Q5 Premium Plus,Audi,Gray,52725,Fletcher Jones Audi,(312) 635-7294,4.8,538,,121,Gray,Black,7-SPEED A/T,All Wheel Drive
2018 Audi Q5 Prestige,Audi,White,55350,Fletcher Jones Audi,(312) 635-7294,4.8,538,,121,White,Black,7-SPEED A/T,All Wheel Drive
2018 Audi Q5 Premium Plus,Audi,Blue,52200,Fletcher Jones Audi,(312) 635-7294,4.8,538,,121,Blue,BEIGE,Automatic,All Wheel Drive
2018 Audi Q5 Premium Plus,Audi,Silver,53305,Fletcher Jones Audi,(312) 635-7294,4.8,538,,121,Silver,Black,Automatic,All Wheel Drive
2018 Audi Q5 Premium Plus,Audi,White,53400,Fletcher Jones Audi,(312) 635-7294,4.8,538,,121,White,Black,7-SPEED A/T,All Wheel Drive
2018 Audi Q5 Premium Plus,Audi,Silver,54375,Fletcher Jones Audi,(312) 635-7294,4.8,538,,121,Silver,Black,7-SPEED A/T,All Wheel Drive
2018 Audi Q5 Premium Plus,Audi,Blue,52375,Fletcher Jones Audi,(312) 635-7294,4.8,538,,121,Blue,Black,Automatic,All Wheel Drive
2018 Audi Q5 Premium Plus,Audi,Blue,52400,Fletcher Jones Audi,(312) 635-7294,4.8,538,,121,Blue,BEIGE,Automatic,All Wheel Drive
2018 Audi Q5 Premium Plus,Audi,Gray,54375,Fletcher Jones Audi,(312) 635-7294,4.8,538,,121,Gray,Black,7-SPEED A/T,All Wheel Drive
2018 Audi Q5 Premium Plus,Audi,Black,54845,Fletcher Jones Audi,(312) 635-7294,4.8,538,,121,Black,Black,7-SPEED A/T,All Wheel Drive
2018 Audi Q5 Premium Plus,Audi,Blue,52900,Fletcher Jones Audi,(312) 635-7294,4.8,538,,121,Blue,BEIGE,Automatic,All Wheel Drive
2018 Audi Q5 Premium Plus,Audi,White,48450,Fletcher Jones Audi,(312) 635-7294,4.8,538,,121,White,BROWN,7-SPEED A/T,All Wheel Drive
2018 Audi Q5 Premium Plus,Audi,White,52150,Fletcher Jones Audi,(312) 635-7294,4.8,538,,121,White,Black,7-SPEED A/T,All Wheel Drive
2018 Audi Q5 Premium Plus,Audi,Gray,54185,Fletcher Jones Audi,(312) 635-7294,4.8,538,,121,Gray,Black,7-SPEED A/T,All Wheel Drive
2018 Audi Q5 Premium Plus,Audi,Black,52725,Fletcher Jones Audi,(312) 635-7294,4.8,538,,121,Black,Black,7-SPEED A/T,All Wheel Drive
2018 Audi Q5 Premium Plus,Audi,Gray,54025,Fletcher Jones Audi,(312) 635-7294,4.8,538,,121,Gray,Black,Automatic,All Wheel Drive
2018 Audi Q5 Premium Plus,Audi,Black,54185,Fletcher Jones Audi,(312) 635-7294,4.8,538,,121,Black,Black,7-SPEED A/T,All Wheel Drive
2018 Audi Q5 Premium Plus,Audi,Black,55030,Fletcher Jones Audi,(312) 635-7294,4.8,538,,121,Black,Black,7-SPEED A/T,All Wheel Drive
2018 Audi Q5 Premium Plus,Audi,Silver,54375,Fletcher Jones Audi,(312) 635-7294,4.8,538,,121,Silver,Black,7-SPEED A/T,All Wheel Drive
2018 Audi Q5 Premium Plus,Audi,Blue,52200,Fletcher Jones Audi,(312) 635-7294,4.8,538,,121,Blue,BEIGE,Automatic,All Wheel Drive
2018 Audi Q5 Premium Plus,Audi,Black,52150,Fletcher Jones Audi,(312) 635-7294,4.8,538,,121,Black,BEIGE,7-SPEED A/T,All Wheel Drive
2018 Audi Q5 Premium Plus,Audi,Green,49825,Fletcher Jones Audi,(312) 635-7294,4.8,538,,121,Green,BEIGE,7-SPEED A/T,All Wheel Drive
2018 Audi Q5 Premium Plus,Audi,White,52150,Fletcher Jones Audi,(312) 635-7294,4.8,538,,121,White,Black,7-SPEED A/T,All Wheel Drive
2018 Audi Q5 Premium Plus,Audi,Silver,54375,Fletcher Jones Audi,(312) 635-7294,4.8,538,,121,Silver,Black,7-SPEED A/T,All Wheel Drive
2018 Audi Q5 Premium Plus,Audi,Gray,54225,Fletcher Jones Audi,(312) 635-7294,4.8,538,,121,Gray,Black,7-SPEED A/T,All Wheel Drive
2018 Audi Q5 2.0T Premium Plus,Audi,Red,54435,Audi Orland Park,(708) 390-0186,4.7,248,,131,Matador Red Metallic,Black,7-Speed Automatic S tronic,quattro
2018 Audi Q5 2.0T Prestige quattro,Audi,Black,53450,Carousel Motors,(319) 800-6780,4.8,147,,145,Brilliant Black,Atlas Beige / Gray,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,White,52500,Carousel Motors,(319) 800-6780,4.8,147,,145,Ibis White,Atlas Beige / Gray,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Black,54785,Carousel Motors,(319) 800-6780,4.8,147,,145,Mythos Black Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Black,54255,Carousel Motors,(319) 800-6780,4.8,147,,145,Brilliant Black,Atlas Beige / Gray,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Prestige quattro,Audi,Gray,55810,Autohaus of Peoria,(866) 753-0076,4,50,,156,Manhattan Gray Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium Plus quattro,Audi,Gray,53125,Team Audi Volkswagen,(219) 810-6621,3.8,8,,156,Manhattan Gray Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium Plus quattro,Audi,Silver,52375,Autohaus of Peoria,(866) 753-0076,4,50,,156,Florett Silver Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium Plus quattro,Audi,White,49376,Team Audi Volkswagen,(219) 810-6621,3.8,8,,156,Ibis White,Atlas Beige / Gray,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium Plus quattro,Audi,Blue,52900,Team Audi Volkswagen,(219) 810-6621,3.8,8,,156,Moonlight Blue Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium Plus quattro,Audi,Blue,50350,Team Audi Volkswagen,(219) 810-6621,3.8,8,,156,Moonlight Blue Metallic,Rock Gray,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Black,50679,Luther Park Place BMW,(507) 226-9966,4.9,912,,166,Mythos Black Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Gray,49799,Luther Park Place BMW,(507) 226-9966,4.9,912,,166,Manhattan Gray Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Blue,50599,Luther Park Place BMW,(507) 226-9966,4.9,912,,166,Moonlight Blue Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 Premium Plus,Audi,Blue,51995,Grossinger Motors,(888) 267-0011,4.8,51,,178,Moonlight Blue Metallic,Rock Gray,7-Speed Auto-Shift Manual w/OD,AWD
2018 Audi Q5 2.0T Prestige quattro,Audi,Green,56930,Maple Hill Auto Group,(269) 203-2055,4.8,153,,200,Azores Green Metallic,Rock Gray,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium Plus quattro,Audi,Gray,50969,Maple Hill Auto Group,(269) 203-2055,4.8,153,,200,Manhattan Gray Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Prestige quattro,Audi,Green,58190,Maple Hill Auto Group,(269) 203-2055,4.8,153,,200,Azores Green Metallic,Nougat Brown / Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium Plus quattro,Audi,Blue,51931,Maple Hill Auto Group,(269) 203-2055,4.8,153,,200,Utopia Blue Metallic,Rock Gray,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Black,54185,Napleton Autowerks Loves Park,(815) 916-4212,4.9,339,,57,Mythos Black Metallic,Nougat Brown / Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Black,52950,Napleton Autowerks Loves Park,(815) 916-4212,4.9,339,,57,Brilliant Black,Atlas Beige / Gray,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Silver,54185,Napleton Autowerks Loves Park,(815) 916-4212,4.9,339,,57,Florett Silver Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Blue,53385,Audi North Shore,(414) 375-4847,3.5,14,,75,Moonlight Blue Metallic,Nougat Brown / Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Prestige quattro,Audi,Gray,57145,Audi North Shore,(414) 375-4847,3.5,14,,75,Manhattan Gray Metallic,Nougat Brown / Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Red,53635,Audi North Shore,(414) 375-4847,3.5,14,,75,Matador Red Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Prestige quattro,Audi,Black,54375,Audi North Shore,(414) 375-4847,3.5,14,,75,Mythos Black Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2016 Audi Q5 3.0 TDI Premium Plus quattro,Audi,Silver,51580,Bergstrom Imports on Victory Lane,(877) 245-2925,4.3,390,,97,Florett Silver Metallic,Titanium Gray / Steel Gray,8-Speed Automatic,AWD
2018 Audi Q5 2.0T Premium,Audi,Blue,53450,Bergstrom Imports on Victory Lane,(877) 245-2925,4.3,390,,97,Navarra Blue Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Gray,54955,Bergstrom Imports on Victory Lane,(877) 245-2925,4.3,390,,97,Manhattan Gray Metallic,Atlas Beige / Gray,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 Prestige,Audi,White,55100,Audi Hoffman Estates,(847) 961-4989,4.9,1138,,100,Ibis White,Atlas Beige,7-Speed Auto-Shift Manual w/OD,AWD
2018 Audi Q5 Premium Plus,Audi,White,53800,Audi Hoffman Estates,(847) 961-4989,4.9,1138,,100,Ibis White,Black,7-Speed Auto-Shift Manual w/OD,AWD
2018 Audi Q5 Premium Plus,Audi,Blue,53485,Audi Hoffman Estates,(847) 961-4989,4.9,1138,,100,Moonlight Blue Metallic,Rock Gray,7-Speed Auto-Shift Manual w/OD,AWD
2018 Audi Q5 Premium Plus,Audi,White,53800,Audi Hoffman Estates,(847) 961-4989,4.9,1138,,100,Ibis White,Atlas Beige,7-Speed Auto-Shift Manual w/OD,AWD
2018 Audi Q5 Premium Plus,Audi,Silver,53585,Audi Hoffman Estates,(847) 961-4989,4.9,1138,,100,Florett Silver Metallic,Black,7-Speed Auto-Shift Manual w/OD,AWD
2018 Audi Q5 Premium Plus,Audi,Blue,54185,Audi Hoffman Estates,(847) 961-4989,4.9,1138,,100,Moonlight Blue Metallic,Nougat Brown,7-Speed Auto-Shift Manual w/OD,AWD
2018 Audi Q5 Premium Plus,Audi,Gray,54185,Audi Hoffman Estates,(847) 961-4989,4.9,1138,,100,Manhattan Gray Metallic,Black,7-Speed Auto-Shift Manual w/OD,AWD
2018 Audi Q5 2.0T Premium,Audi,Black,52950,The Audi Exchange,(847) 739-9944,4.9,558,,102,Brilliant Black,Atlas Beige / Gray,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Red,49625,The Audi Exchange,(847) 739-9944,4.9,558,,102,Matador Red Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Silver,54435,The Audi Exchange,(847) 739-9944,4.9,558,,102,Florett Silver Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Blue,55325,The Audi Exchange,(847) 739-9944,4.9,558,,102,Moonlight Blue Metallic,Rock Gray,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Gray,49775,The Audi Exchange,(847) 739-9944,4.9,558,,102,Manhattan Gray Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,White,52910,The Audi Exchange,(847) 739-9944,4.9,558,,102,Ibis White,Atlas Beige / Gray,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,White,52950,The Audi Exchange,(847) 739-9944,4.9,558,,102,Ibis White,Atlas Beige / Gray,7-Speed Automatic with Auto-Shift,AWD
2018 Audi Q5 2.0T Premium,Audi,Black,54375,The Audi Exchange,(847) 739-9944,4.9,558,,102,Mythos Black Metallic,Black,7-Speed Automatic with Auto-Shift,AWD
